Titulo;Categoria;Link
Datos de uso de la conexión a internet gratuito en paradas de transporte;Datos varios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-varios/datos-de-uso-de-la-conexion-a-internet-gratuito-en-paradas-de-transporte/287
Declaraciones Juradas de Abel Paez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-abel-paez/2728
Declaraciones Juradas de Adriana Pratto;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adriana-pratto/2807
Declaraciones Juradas de Adrián Casati;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adrian-casati/2741
Declaraciones Juradas de Adrián Cena;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adrian-cena/2718
Declaraciones Juradas de Adrian Leiva;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adrian-leiva/2566
Declaraciones Juradas de Adrián Lopresti;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adrian-lopresti/2547
Declaraciones Juradas de Adrián Slavin;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-adrian-slavin/2443
Declaraciones Juradas de Agustin Torres;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-agustin-torres/2487
Declaraciones Juradas de Alberto Abad;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alberto-abad/2672
Declaraciones Juradas de Alberto Lupiañez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alberto-lupianez/2472
Declaraciones Juradas de Alberto Solaso;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alberto-solaso/2596
Declaraciones Juradas de Alejandra Ferrero;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandra-ferrero/2690
Declaraciones Juradas de Alejandro Álvarez Nobell;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-alvarez-nobell/2688
Declaraciones Juradas de Alejandro Casas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-casas/2733
Declaraciones Juradas de Alejandro Cejas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-cejas/2700
Declaraciones Juradas de Alejandro Mancilla;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-mancilla/2824
Declaraciones Juradas de Alejandro Miraglia;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-miraglia/2823
Declaraciones Juradas de Alejandro Perez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alejandro-perez/2557
Declaraciones Juradas de Alexis Toledo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alexis-toledo/2809
Declaraciones Juradas de Alfredo Blanco Gareca;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alfredo-blanco-gareca/2748
Declaraciones Juradas de Álfredo Curi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alfredo-curi/2669
Declaraciones Juradas de Alfredo Sapp;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alfredo-sapp/2629
